time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-03T15:22:56.952Z,61.3127,-149.9198,44.9,3.6,ml,,,,0.51,ak,ak01957odna,2019-01-04T07:38:51.717Z,"12km NNW of Anchorage, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-01-03T15:01:40.919Z,61.4474,-149.9798,34.1,2.5,ml,,,,0.78,ak,ak01957juen,2019-01-04T07:28:19.686Z,"8km S of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-03T13:06:28.438Z,62.4531,-152.5691,161.2,2.6,ml,,,,0.66,ak,ak01956e12w,2019-01-03T13:19:39.096Z,"128km W of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-01-03T12:47:42.810Z,-59.7702,-26.6497,133.43,5.4,mb,,87,7.679,1.08,us,us2000j01b,2019-01-03T13:02:03.040Z,"82km S of Bristol Island, South Sandwich Islands",earthquake,12,7.3,0.066,79,reviewed,us,us
2019-01-03T11:07:14.350Z,50.5547,-65.3156,15.78,2.9,ml,,113,1.63,0.61,us,us2000j072,2019-01-04T06:48:12.040Z,"85km ENE of Sept-Iles, Canada",earthquake,6.3,7.2,0.091,16,reviewed,us,us
2019-01-03T09:10:28.000Z,32.9699,130.4686,10,4.7,mb,,100,0.376,0.63,us,us2000j00n,2019-01-03T13:57:26.318Z,"7km SSE of Omuta, Japan",earthquake,7.7,1.9,0.099,31,reviewed,us,us
2019-01-03T07:59:33.770Z,18.621,-64.0368,119,3.03,md,8,339,1.8743,0.21,pr,pr2019003004,2019-01-03T11:49:52.245Z,"65km ENE of Road Town, British Virgin Islands",earthquake,5.79,6.17,0.35,7,reviewed,pr,pr
2019-01-03T07:42:26.620Z,-9.3194,109.5839,10,4.4,mb,,91,1.678,0.72,us,us2000j00l,2019-01-03T09:12:21.040Z,"169km SSW of Bambanglipuro, Indonesia",earthquake,8,1.9,0.13,17,reviewed,us,us
2019-01-03T06:31:24.215Z,62.2209,-150.1401,1.1,2.9,ml,,,,0.84,ak,ak01952dc93,2019-01-03T07:32:14.888Z,"11km S of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-03T06:09:09.370Z,31.6191,-104.3119,5,2.7,ml,,65,0.394,0.5,us,us2000j006,2019-01-03T15:18:32.691Z,"68km W of Mentone, Texas",earthquake,4.3,2,0.097,20,reviewed,us,us
2019-01-03T05:33:38.275Z,70.2754,-144.4904,55.7,3.5,ml,,,,0.58,ak,ak01951sd3u,2019-01-03T17:26:16.495Z,"34km WNW of Kaktovik, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-01-03T05:07:11.510Z,-45.0103,166.6939,10,4.1,mb,,125,0.558,1.07,us,us2000izzu,2019-01-03T05:44:11.040Z,"92km WNW of Te Anau, New Zealand",earthquake,3.5,1.9,0.301,3,reviewed,us,us
2019-01-03T04:49:18.560Z,-11.5095,118.1787,38.08,4.6,mb,,96,6.233,0.86,us,us2000izzq,2019-01-03T05:07:12.040Z,"224km SSW of Panenggoede, Indonesia",earthquake,8.5,10.4,0.122,20,reviewed,us,us
2019-01-03T04:45:45.208Z,62.3986,-152.3139,123.8,2.5,ml,,,,0.57,ak,ak019519ih0,2019-01-03T04:52:36.217Z,"114km W of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-01-03T04:34:16.540Z,19.0233,-66.8126,50,2.9,md,7,310,0.6792,0.15,pr,pr2019003003,2019-01-03T07:30:04.331Z,"59km N of Hatillo, Puerto Rico",earthquake,1.69,3.79,0.13,6,reviewed,pr,pr
2019-01-03T04:21:24.880Z,-3.8685,127.7607,53.66,4.7,mb,,83,4.578,0.89,us,us2000izzc,2019-01-03T04:31:52.040Z,"45km WSW of Amahusu, Indonesia",earthquake,7.5,11.7,0.12,21,reviewed,us,us
2019-01-03T04:12:32.400Z,61.3452,-150.1214,26,2.5,ml,,,,0.7,ak,ak019512f08,2019-01-03T06:06:36.296Z,"18km NW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-03T03:32:13.770Z,33.4996667,-116.8078333,2.57,3.1,ml,126,18,0.01413,0.23,ci,ci38414776,2019-01-03T16:28:06.910Z,"8km NE of Aguanga, CA",earthquake,0.1,0.28,0.147,259,reviewed,ci,ci
2019-01-03T03:25:50.610Z,-47.9453,165.4839,14.77,4.7,mb,,131,2.658,0.88,us,us2000izyx,2019-01-03T03:50:29.040Z,"261km SW of Riverton, New Zealand",earthquake,11.7,5.7,0.174,10,reviewed,us,us
2019-01-03T02:14:54.857Z,61.4731,-149.9969,21.4,3.3,ml,,,,0.89,ak,ak0194zw0zn,2019-01-04T02:17:07.793Z,"5km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
